목록,국가,책이름,시리즈,저자,역자,출판사,초판,장서
1-2-1,중,跨江击刘表,三国演义之4,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,凤仪亭,三国演义之5,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,犯长安,三国演义之6,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,三让徐州,三国演义之7,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,李郭交兵,三国演义之8,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,小霸王孙策,三国演义之9,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,辕门射戟,三国演义之10,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,白门楼,三国演义之11,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,煮酒论英雄,三国演义之12,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,白马坡,三国演义之13,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,千里走单骑,三国演义之14,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,战官渡,三国演义之15,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,定四州,三国演义之16,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,马跃檀溪,三国演义之17,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,三顾茅庐,三国演义之18,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,火烧新野,三国演义之19,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,长坂坡,三国演义之20,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,舌战群儒,三国演义之21,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,群英会,三国演义之22,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,赤壁大战,三国演义之23,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,战长沙,三国演义之24,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,甘露寺,三国演义之25,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,反西凉,三国演义之26,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,张松献地图,三国演义之27,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,取成都,三国演义之28,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,需须之战,三国演义之29,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,定军山,三国演义之30,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,水淹七军,三国演义之31,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,走麦城,三国演义之32,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,火烧连营,三国演义之33,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,诸葛亮渡泸水,三国演义之34,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,天水关,三国演义之35,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,擒孟达,三国演义之36,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,空城计,三国演义之37,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,姜维献书,三国演义之38,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,智取陈仓,三国演义之39,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,八卦阵,三国演义之40,,,上海人民美术出版社,1979.4,1979.5
