목록,국가,책이름,시리즈,저자,역자,출판사,초판,장서
1-5-1,한,유비에게 묻고 조조에게 배우다,,한석준,,웅진지식하우스,2012.7.5,2012.7.15
1-5-1,한,"욕심이 차오를 떼, 노자를 만나다",,박영규,,한빛비즈,2017.10.25,2018.5.15
1-5-1,한,무에서 유를 창조하는 통찰력 제갈량처럼 앞서가라,,신동준,,미다스북스,2016.8.1,
1-5-1,한,승리를 심장에 새기는 실행력 조조처럼 대담하라,,신동준,,미다스북스,2016.8.1,
1-5-1,중한,현대 심리학으로 읽는 삼국지 인물 열전: 제갈량에게 말하다 2,,천위안,정주은,리드리드,2023.4.10,
1-5-1,중한,제갈량 읽는 CEO,,홍자오,김민정,21세기북스,2009.10.27,2009.11.5
1-5-1,중한,성공하는 리더를 위한 삼국지,,곽우가,김민정,예문,,
1-5-1,중한,조조 읽는 CEO,,량룽,이은미,21세기북스,2009.8.20,2009.9.10
1-5-1,중일,三国志考証学,,李殿元 李绍先,和田武司,講談社,1996.3.15,
1-5-1,중영,ROMANCE OF THE THREE KINGDOMS,,蔡志忠,Leong Weng Kam,ASIAPAC BOOKS,1993.5,1994.8
1-5-1,중,群雄逐鹿,,蓝水飞舟,,中国出版社 现代出版社,2020.11,
1-5-1,중,三国 名士无双,,易轩,,新世界出版社,2024.2,
1-5-1,중,细说三国,,黎东方,,上海人民出版社,,
1-5-1,중,透过地理看历史 三国篇,,李不白,,中华地图学社,2020.9,2020.1
1-5-1,중,透过地理看历史 三国篇,,李不白,,台海出版社,2020.11,
1-5-1,중,真假三国纵横谈,,刘逸生,,远流出版,1989.6.1,1992.9.1
1-5-1,중,说三国 话人生,,于学彬,,解放军出版社,1996.12.1,1999.1
1-5-1,중,真假三国纵横谈,,刘逸生,,远流出版,1989.6.1,1992.9.1
1-5-1,중,三国韬略 ,,徐兆仁,,中国人民大学出版社,1995.1,
1-5-1,일한,삼국지 경영학,,이하라 류이찌,임종삼,동국출판사,1983.9.15,1983.9.20
1-5-1,일,裸の三国志: 日・中・韓三国比較文化論 ,,金文学,,東方出版社,1998.5.25,
1-5-1,일,特別展 三国志,,"九州国立博物館, 
東京国立博物館 ",,美術出版社,2019.6.25,
1-5-1,일,三国志新聞,,三国志新聞編纂委員会,,日本文芸社,1996.3.1,
1-5-1,일,"人事の三国志
 変革期の人脈・人材登用・立身出世",,渡邊義浩,,朝日新聞出版,2019.6.10,
1-5-1,일,三国志が好き！,,渡邊義浩,,岩波書店,2023.4.7,
1-5-1,일,三国志 一の巻 天狼の星,,北方謙三,,角川春樹事務所 ,2001.6.18,
1-5-1,일,三国志の人物学,,守屋洋,,PHP研究所,1981.7.24,
1-5-1,일,三国志軍師総登場,,吉成勇,,新人物往来社,1998.6.1,
1-5-1,일,三国志の統率学,,松本一男,,三笠書房,1986.4.30,1986.12.10
1-5-1,일,三国志を行く 三国鼎立編,,山口直樹,,世界文化社,2006.5.1,
1-5-1,일,ここが一番おもしろい! 三国志 謎の収集,,島崎晋,,青春出版社,2019.11.1,
1-5-1,일,三国志 群雄割拠の時代を駆け抜けた英雄たちの物語,,榎本秋,,新星,2008.12.15,
1-5-1,일,三国志―人の上に立つ条件とは,,守屋洋,,世界文化社 ,1987.8.1,
1-5-1,일,石平の裏読み三国志 英雄たちに学ぶ乱世のリーダーシップ,,石平,,PHP研究所 ,2020.5.11,
1-5-1,일,三国志と人間学,,安岡正篤,,福村出版,1987.8.20,1991.7.20
1-5-1,일,人物中国の歴史 5 三国志の世界,,駒田信二,,集英社,1981.7.20,
1-5-1,일,三国志 現代に生かす人間学の宝庫 中国古典の人間学,,守屋洋 等,,世界文化社,1983.12.1,
1-5-1,일,十八史略 人間学の不朽のバイブル,,守屋洋 等,,世界文化社,1984.1.1,
1-5-1,일,三国志 Three Kingdoms Unveiling the Story ,,"九州国立博物館 
東京国立博物館",,美術出版社,2019.9,
1-5-1,대만,英雄訓練手冊　三國志傳奇,,澄田夢久 渡邉義浩,胡毓華,"
楓葉社文化事業有限公司",2020.11.6,
1-5-1,,"명청소설 상,하(상권만 있음)",,,,산동예술출판사,1992.9,
1-5-1,,삼국지 铭铭傳,,,,光村도서,1984.3.15,
1-5-1,,삼국지경영학,,이하라 류이찌,임종삼,동국출판사,1983.9.20,
1-5-1,,삼국지 인간학,,모리야 히고시,임종삼,동국출판사,1982.4.15,
1-5-1,,조조争霸经营史,,陈文德,,远流出版,1991.1.1,1993.2.16
1-5-1,,삼국모량과 현대상전,,藿雨佳,,远流出版,1992.10.16,1992.11.1
1-5-1,,"영웅 생 kirubekika, 사tksubekita 상,중,하",,柴田錬三郎,,集英社,1977.1.30,1978.1.20
1-5-1,,중국지명사전,,星文武夫,,名著보급회,1941.4.8,1980.12.10
1-5-1,,삼국지 no旅,,,,講談社,1981.5.20,
1-5-1,,"삼국지 graphic판
(현대를 사는 인간학의 보고)",,,,세계문화사,1983.12.1,
1-5-1,,後사국연의,,寺尾善雄,,秀英書房,1980.3.25,
1-5-1,,삼국지(재미있는 세미나),,,,潮出版社,1984.7.16,
1-5-1,,삼국지(사람들의 위에 서는 조건이란),,,,세계문화사,1987.8.1,
1-5-1,,"역사 小故事 총서 선집
(삼국 양진 남북조시대)",,,,하남정주인민출판사,1984.3,
1-5-1,,중국고전 명언사전,,諸橋轍次,,講談社,1972.11.20,
1-5-1,,삼국胜迹神旅,,吴攻 员力,,하남인민출판사,1986.10.1,
1-5-1,,관공의 인격과 신격,,黄华节,,대만상무인서관,1967.1,1978.7
1-5-1,,삼국지 인물 소프트,,최용현,,희성출판사,1993.4.30,
1-5-2 도감,,,,,,,,
1-5-2,한,원본그림 삼국지,,"금협중/강병국, 차정식",,진한엠엔비,2017.8.28,2018.3.5
1-5-2,한,그림 삼국지 1,그림 삼국지,석용원/이성박,,현암사,1984.11.30,
1-5-2,한,그림 삼국지 2,그림 삼국지,석용원/이성박,,현암사,1984.11.31,
1-5-2,한,삼국지 100년 도감,,바운드,전경아,이다미디어,2018.1.13,2018.5.14
1-5-2,한,중국 역사 지리,,류제헌,,문학과지성사,1999.1.4,
1-5-2,중일,図説 三国志の世界,,刘炜,気賀沢保規,大修館書店,2001.6.20,
1-5-2,중,图解三国演义,,罗贯中 ,吴羽,南海出版社,2008.1.1,
1-5-2,중,成都武侯祠(관광지소개),,成都武侯祠博物馆研究部,,,,
1-5-2,중,地图三国,,许盘清,,地震出版社,2007.7,
1-5-2,중,三国地图,,,,中国地图出版社,2018.1,2019.4
1-5-2,중,图说三国 曹魏,,,,成都地图出版社,2004.3,
1-5-2,중,三国演义 中国邮票,,,,,,
1-5-2,중,图说三国 刘蜀,,沈伯俊,,成都地图出版社,2004.3,
1-5-2,중,简明中国历史地图表,,中国社会科学院 谭其骧,,中国地图出版社,1991.1,1996.6
1-5-2,중,图说三国 孙吴,,沈伯俊,,成都地图出版社,2004.3,
1-5-2,중,地图三国,,许盘清,,地震出版社,2007.7,
1-5-2,중,读图识中国,,万必文 陈志辉,,商务印刷馆,2018.3,
1-5-2,중,国中 新超群 地理,,蔡文隆 蔡久瀛,,南一书局,,
1-5-2,일한,삼국지 100년 도감,,바운드,"전경아, 미츠다 타카시",이디미디어,2018.1.13,2022.10.24
1-5-2,일중,图解三国时代,,原遥平,张嘉苓,易博士文化,2006.11.23,
1-5-2,일,"イラストでサクッと理解 
流れが見えてくる三国志図鑑 ",,かみゆ歴史編集部,, ナツメ社,2023.7.18,
1-5-2,일,図解三国志: ひと目でわかる!,,川浦治明,,学研プラス,2005.3.1,
1-5-2,일,三国演義 写真図鑑,,クラブ三国迷 神保龍太,,ASPECT,1996.8.26,
1-5-2,일,図解雑学 三国志 ,,渡邉義浩,,ナツメ社,2001.2.20,
1-5-2,일,図説・読み切り 年画・三国志,,王樹村 立間祥介,,集英社,1994.6.25,
1-5-2,일,一冊でわかるイラストでわかる図解世界史,,成美堂,,成美堂,2006.11.1,
1-5-2,,중국역사 疆域古今对照图说,,徐氏基金会,,,1979.4.30,
1-6 만화,,,,,,,,
1-6,한,만화 삼국지 1,만화 삼국지,이문열/이희재,,아이세움,2001.7.1,2007.7.16
1-6,한,만화 삼국지 2,만화 삼국지,이문열/이희재,,아이세움,2001.7.1,2007.5.2
1-6,한,만화 삼국지 3,만화 삼국지,이문열/이희재,,아이세움,2001.7.1,2007.7.16
1-6,한,만화 삼국지 4,만화 삼국지,이문열/이희재,,아이세움,2001.9.5,2007.5.2
1-6,한,만화 삼국지 5,만화 삼국지,이문열/이희재,,아이세움,2001.7.25,2007.7.16
1-6,한,만화 삼국지 6,만화 삼국지,이문열/이희재,,아이세움,2001.10.25,2007.5.2
1-6,한,만화 삼국지 7,만화 삼국지,이문열/이희재,,아이세움,2001.11.25,2007.3.12
1-6,한,만화 삼국지 8,만화 삼국지,이문열/이희재,,아이세움,2002.11.25,2007.5.2
1-6,한,만화 삼국지 9,만화 삼국지,이문열/이희재,,아이세움,2002.3.15,2007.7.16
1-6,한,만화 삼국지 10,만화 삼국지,이문열/이희재,,아이세움,2002.4.20,2007.3.12
1-6,한,만화 삼국지 1,,"요시카와 에이지/
이시모리 프로/
다케카와 고타로",장현주,미래사,2021.12.1,2021.12.15
1-6,한,만화 삼국지 2,,"요시카와 에이지/
이시모리 프로/
다케카와 고타로",장현주,미래사,2021.12.1,2021.12.15
1-6,한,고우영만화대전집1 삼국지1,,고우영,,우석출판사,1999.6.5,
1-6,중,漫画三国志1,漫画三国志,甜甜猪编辑部/张军霞,,北京工艺美术出版社,2024.2.1,
1-6,중,漫画三国志2,漫画三国志,甜甜猪编辑部/张军霞,,北京工艺美术出版社,2024.2.1,
1-6,중,漫画三国志3,漫画三国志,甜甜猪编辑部/张军霞,,北京工艺美术出版社,2024.2.1,
1-6,중,漫画三国志4,漫画三国志,甜甜猪编辑部/张军霞,,北京工艺美术出版社,2024.2.1,
1-6,중,漫画讲透 资治通鉴,,华彬/小读客,,江苏凤凰文艺出版社,2023.6,
1-6,중,漫画讲透 资治通鉴,,小读客阅读研究所,,江苏凤凰文艺出版社,2023.3,
1-6,중,赛雷三分钟漫画 三国演义 10,,赛雷,,湖南文艺出版社,2022.6,
1-6,중,赛雷三分钟漫画 三国演义 11,,赛雷,,湖南文艺出版社,,
1-6,중,赛雷三分钟漫画 三国演义 12,,赛雷,,湖南文艺出版社,,
1-6,중,漫画三国志 1,,罗贯中,金佑英,三采文化出版,2006.1.5,
1-6,중,漫画三国志 2,,罗贯中,金佑英,三采文化出版,2006.1.5,
1-6,중,漫画三国志 3,,罗贯中,金佑英,三采文化出版,2006.1.5,
1-6,중,漫画三国志 4,,罗贯中,金佑英,三采文化出版,2006.1.5,
1-6,중,漫画三国志 5,,罗贯中,金佑英,三采文化出版,2006.1.5,
1-6,중,만화를 보면서 배우는 일본어 三国志,,"쿠보다 센터로/
소노다 미츠요시",오상현,이지북,2000.11.9,
1-6,중,三国志 忠肝义胆群英会 蔡志忠古典幽默漫画IV,,蔡志忠,,三联书店,1992.8,
1-6,중,三国演义 (连环画）,1~48,,,上海人民美术出版社,1979.4,1979.5
1-6,중,漫画三国志 3 三顾茅庐,,罗贯中,金佑英,三采文化,2006.1.5,
1-6,일본,マンガでわかる三国志,,袴田郁一/渡邉義浩,,池田書店,2016.11.24,
1-6,,만화수설 삼국지 10권,,구보다 센터로,,대현출판사,1993.11.30,
1-6,,만화 삼국연의 5권,,,,牛顷출판사,1990.8.10,1992.5.20
2. 영상,,,,,,,,
2,한,영어로 듣고 영어로 말하는 삼국지 USB,,,, 대종영상,,
2,한,벌거벗은 세계사 - 사건편 ,,"tvN<벌거벗은 세계사>
제작팀",,교보문고,2022.1.24,2023.2.10
2,중,三国演义 DVD 珍藏版,,,中国中央电视台,,,
2,중,开车读二十五史 三国志(CD),,卡尔博学文化公司,,中经录音录像中信,,
2,중,三国演义 中英文字幕,,,,深圳市激光节目出版,,
?,,,,,,,,
,한,연개소문전쟁,,우재훈,,북랩,2017.5.17,
,한,뿌리깊은 나무 판소리 - 적벽가,,"소리/정권진, 
북/김명환",뿌리깊은 나무,한국 브리태니커,1982.5.1,
,한,"한국상인, 중국상인, 일본상인",,이영호,,스노우폭스북스,2023.8.31,2023.9.6
,한,공정하다는 착각,,마이클 샌델,함규진,미래엔,2020.12.1,2021.5.20
,한,華容道(화룡도),,,,,,
,한,한권으로 읽는 조선인물실록,,김형광,,시아,2021.7.1,
,한,신학자가 풀어 쓴 유교 이야기,,배요한,,한국기독학생회출판부,2014.3.14,2015.10.15
,한,성리학을 비판한 유교의 개혁자 이탁오와 조선의 실학,,신용철,,탐구당,2017.8.31,
,한,"보수의 시작, 퇴계  진보의 시작, 율곡",,박상하,,생각출판사,2020.3.15,
,한,뿌리깊은 나무 판소리 - 적벽가,,정권진 김명환,,한국 브리태니커 회사,1982.5.1,
,중,楼桑三义宫,,刘桂郁,,"涿州市鸿蒙实业
发展有限公司",2001.9,
,중,曹冲称象,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,老鼠嫁女,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,叶公好龙,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,司马光砸缸,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,黄香温席,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,白蛇传说,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,九色鹿,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,猴子捞月,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,高山流水,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,三个和尚,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,草船借箭,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,鲤鱼跳龙门,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,岳母刺字,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,武松打虎,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,姜太公钓鱼,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,杯弓蛇影,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,滥竽充数,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,狐假虎威,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,孟姜女哭长城,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,东郭先生和狼,中国经典故事绘本第3辑,关胜莲,,延边大学出版社,2021.5,2024.6
,중,拳打镇西关,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,倒拔垂杨柳,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,风雪山神庙,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,吴闯白虎堂,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,大闹野猪林,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,武松打虎,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,醉打蒋门神,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,杨志卖刀,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,真假李逵,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,智取生辰纲,三国演义 提高大语文核心素养,,,新世纪出版社,,
,중,万事万物由来,,宿春礼,,中国华侨出版社,2010.11,
,,역사의 명참모 尹青光편,,,,동국출판사,1983.12.10,
